EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
30989,1738650,REGULAR,SOUTHSIDE CHRISTIAN,,5804 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023/03/01 05:00:00+00,100,A,SOUTHSIDE CHRISTIAN,,1
30993,1662148,REGULAR,WEE CARE NURSERY,,11616 MAIN ST,,LOUISVILLE,KY,40243,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/03/30 04:00:00+00,99,A,WEE CARE NURSERY,,2
30993,1703319,REGULAR,WEE CARE NURSERY,,11616 MAIN ST,,LOUISVILLE,KY,40243,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/09/21 04:00:00+00,100,A,WEE CARE NURSERY,,3
30993,1730555,REGULAR,WEE CARE NURSERY,,11616 MAIN ST,,LOUISVILLE,KY,40243,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023/01/23 05:00:00+00,100,A,WEE CARE NURSERY,,4
31043,1675318,REGULAR,KINDER CARE LEARNING CTR #424,,3804 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/05/27 04:00:00+00,98,C,KINDER CARE LEARNING CTR #424,,5
31043,1676111,FOLLOWUP,KINDER CARE LEARNING CTR #424,,3804 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/06/01 04:00:00+00,100,A,KINDER CARE LEARNING CTR #424,,6
31043,1715224,REGULAR,KINDER CARE LEARNING CTR #424,,3804 KLONDIKE LN,,LOUISVILLE,KY,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/11/07 05:00:00+00,96,A,KINDER CARE LEARNING CTR #424,,7
31053,1682529,REGULAR,KINDER CARE LEARNING CTR #416,,8016 SHELBYVILLE RD,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/06/27 04:00:00+00,100,A,KINDER CARE LEARNING CTR #416,,8
31053,1720064,REGULAR,KINDER CARE LEARNING CTR #416,,8016 SHELBYVILLE RD,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/11/30 05:00:00+00,98,A,KINDER CARE LEARNING CTR #416,,9
31071,1670998,SURVEY,KINDER CARE LEARNING CTR #418,,2990 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/04/14 04:00:00+00,0,,KINDER CARE LEARNING CTR #418,,10
31071,1675682,REGULAR,KINDER CARE LEARNING CTR #418,,2990 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/05/31 04:00:00+00,100,A,KINDER CARE LEARNING CTR #418,,11
31071,1719600,REGULAR,KINDER CARE LEARNING CTR #418,,2990 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/11/29 05:00:00+00,100,A,KINDER CARE LEARNING CTR #418,,12
